keys,en,nl,ha_NG
start game,start game,speel,
start game!,start game!,start spel!,
tutorial,tutorial,tutorial,
next,next,volgende,
crops,crops,gewassen,
measures,measures,beheer,
livestock,livestock,vee,
family,family,gezin,
upgrades,upgrades,upgrades,
money,money,geld,
labour,labour,arbeid,
years,years,jaren,
fertility,fertility,vruchtbaarheid,
next year,next year,volgend jaar,
beans,beans,bonen,
beef tomato,beef tomato, vleestomaten,
bell peppers,bell peppers,paprikas,
cherry tomato,cherry tomato,cherrytomaten,
irish potato,irish potato,Ierse aardappelen,
maize,maize,mais,
terraces,terraces,terassen,
grass strips,grass strips,grasstroken,
drip irrigation,drip irrigation,druppelirrigatie,
manure,manure,mest,
town ash,town ash,as,
artificial fertilizer,synthetic fertilizer,kunstmest,
labourer,labourer,arbeider,
off farm job,off farm job,externe baan,
primary school,primary school,basisschool,
secondary school,secondary school,middelbare school,
health insurance,health insurance,zorgverzekering,
back,back,terug,
money,money,geld,
remove,remove,verwijderen,
cow,cow,koe,
goat,goat,geit,
chicken,chicken,kip,
Ade is an aspiring farmer with a growing family,Ade is an aspiring farmer with a growing family,Ade is een aspirant-boer met een groeiend gezin,
He has two children and a beautiful wife.,He has two children and a beautiful wife.,Hij heeft twee kinderen en een prachtige vrouw.,
Ade has been struggling to make ends meet for his family and now his oldest son wants to go to university to further his education. Ade wants to upscale his farming business to help his sons dreams come true and build a more comfortable life for his growing family.,Ade has been struggling to make ends meet for his family and now his oldest son wants to go to university to further his education. Ade wants to upscale his farming business to help his sons dreams come true and build a more comfortable life for his growing family.,Ade heeft moeite om de eindjes aan elkaar te knopen voor zijn gezin en nu wil zijn oudste zoon naar de universiteit om zijn opleiding af te maken. Ade wil zijn landbouwbedrijf uitbreiden om zijn zoons dromen waar te maken en een comfortabeler leven voor zijn groeiende gezin op te bouwen.,
Farmz2U recognizes Ade's dream and wants to help. They have given him a finiancial loan and helped him lease a hectare of land.,Farmz2U recognizes Ade's dream and wants to help. They have given him a finiancial loan and helped him lease a hectare of land.,Farmz2U herkent Ade's droom en wil hem helpen. Ze hebben hem een financiÃ«le lening gegeven en hem geholpen een hectare land te leasen.,
Can you help Ade grow a sustainable farming business and achieve all his goals in 12 years? Perhaps if go above and beyond you'll get a merit badge to show off to your friends...,Can you help Ade grow a sustainable farming business and achieve all his goals in 12 years? Perhaps if go above and beyond you'll get a merit badge to show off to your friends...,Kun jij Ade helpen een duurzaam boerenbedrijf op te bouwen en al zijn doelen in 12 jaar te bereiken? Misschien krijg je wel een medaille om aan je vrienden te laten zien...,
